keyword,skill,count,rank
Golang,无,1636,8
Golang,Kubernetes,1311,9
Golang,Docker,1293,10
Golang,C,1250,11
Golang,框架开发,1222,12
Golang,系统开发,1169,13
Golang,golang,1140,14
Golang,Redis,1060,15
Golang,框架设计,1052,16
Golang,Linux,970,17
Golang,容器,944,18
Golang,IT,869,19
Golang,信息化领域,867,20
Hadoop,Python,3166,1
Hadoop,Java,3151,2
Hadoop,Spark,2747,3
Hadoop,SQL,2509,4
Hadoop,数据开发,2188,5
Hadoop,Hadoop,1999,6
Hadoop,hadoop,1647,7
Hadoop,MySQL,1622,8
Hadoop,数据建模,1479,9
Hadoop,无,1336,10
Hadoop,数据分析,1278,11
Hadoop,数据挖掘,1253,12
Hadoop,架构设计,1249,13
Hadoop,数据治理,1104,14
Hadoop,大数据领域,983,15
Hadoop,Hive,925,16
Hadoop,C++,825,17
Hadoop,Flink,793,18
Hadoop,深度学习,695,19
Hadoop,数据架构,657,20
Java,Java,5601,1
Java,MySQL,2665,2
Java,架构设计,1606,3
Java,框架开发,1541,4
Java,SQL,1534,5
Java,spring,1490,6
Java,后端开发,1461,7
Java,框架设计,1402,8
Java,数据库,1271,9
Java,Spring,1171,10
Java,mybatis,1022,11
Java,模块开发,931,12
Java,系统开发,880,13
Java,redis,839,14
Java,无,815,15
Java,oracle,798,16
Java,Redis,772,17
Java,Python,762,18
Java,C++,753,19
Java,Spring Boot,726,20
Linux,C++,2498,1
Linux,C,2053,2
Linux,Linux,1779,3
Linux,无,1393,4
Linux,Python,1183,5
Linux,linux,816,6
Linux,Java,762,7
Linux,MySQL,674,8
Linux,系统开发,646,9
Linux,架构设计,565,10
Linux,嵌入式软件开发,557,11
Linux,Shell,532,12
Linux,模块开发,529,13
Linux,IT,465,14
Linux,信息化领域,448,15
Linux,驱动开发,429,16
Linux,后端开发,363,17
Linux,SQL,359,18
Linux,系统运维,347,19
Linux,框架开发,307,20
Node.js,前端开发,6340,1
Node.js,Vue,4898,2
Node.js,Javascript,4776,3
Node.js,HTML,4177,4
Node.js,Node.js,3645,5
Node.js,CSS,3350,6
Node.js,框架设计,2754,7
Node.js,React,2707,8
Node.js,框架开发,2600,9
Node.js,架构设计,2183,10
Node.js,Java,2076,11
Node.js,react,1740,12
Node.js,后端开发,1498,13
Node.js,Python,1261,14
Node.js,无,1260,15
Node.js,webpack,1210,16
Node.js,MySQL,1191,17
Node.js,界面开发,1113,18
Node.js,Web开发,958,19
Node.js,模块开发,879,20
PHP,PHP,7743,1
PHP,MySQL,3403,2
PHP,Java,2886,3
PHP,Python,2687,4
PHP,前端开发,2124,5
PHP,Javascript,1932,6
PHP,架构设计,1761,7
PHP,HTML,1719,8
PHP,无,1537,9
PHP,后端开发,1532,10
PHP,CSS,1483,11
PHP,C++,1427,12
PHP,框架开发,1375,13
PHP,Vue,1267,14
PHP,框架设计,1260,15
PHP,Redis,1259,16
PHP,数据库,1240,17
PHP,linux,1206,18
PHP,SQL,1105,19
PHP,redis,1053,20
Python,Python,3801,1
Python,无,1799,2
Python,C++,1291,3
Python,Java,769,4
Python,C,747,5
Python,MySQL,703,6
Python,SQL,694,7
Python,后端开发,689,8
Python,数据分析,487,9
Python,自动化测试,455,10
Python,架构设计,434,11
Python,Linux,413,12
Python,深度学习,409,13
Python,框架开发,390,14
Python,Shell,359,15
Python,框架设计,330,16
Python,IT,291,17
Python,算法开发,287,18
Python,前端开发,284,19
Python,软件测试,273,20
U3D,无,4915,1
U3D,Unity3D,2274,2
U3D,C#,1675,3
U3D,unity3d,1428,4
U3D,C++,1145,5
U3D,游戏开发,1030,6
U3D,特效设计,945,7
U3D,lua,809,8
U3D,游戏行业,682,9
U3D,3dmax,676,10
U3D,场景设计,673,11
U3D,3DMAX,668,12
U3D,Maya,651,13
U3D,UE4,629,14
U3D,C,602,15
U3D,美术设计,596,16
U3D,引擎开发,572,17
U3D,Photoshop,545,18
U3D,角色设计,536,19
U3D,动画设计,534,20
UE4,无,4377,1
UE4,UE4,3755,2
UE4,C++,1560,3
UE4,特效设计,889,4
UE4,Maya,845,5
UE4,3dmax,777,6
UE4,场景设计,717,7
UE4,动画设计,680,8
UE4,游戏行业,679,9
UE4,3DMAX,675,10
UE4,Unity3D,667,11
UE4,maya,661,12
UE4,Photoshop,547,13
UE4,美术设计,533,14
UE4,角色设计,523,15
UE4,游戏开发,457,16
UE4,C,449,17
UE4,引擎开发,448,18
UE4,ue4,421,19
UE4,PBR,359,20
UI设计,视觉设计,2385,1
UI设计,UI设计,1920,2
UI设计,交互设计,1805,3
UI设计,无,1670,4
UI设计,平面设计,1227,5
UI设计,移动端,1178,6
UI设计,用户研究,1167,7
UI设计,产品设计,1098,8
UI设计,前端开发,1074,9
UI设计,Photoshop,911,10
UI设计,产品规划,870,11
UI设计,HTML,824,12
UI设计,ui设计,762,13
UI设计,Vue,745,14
UI设计,C++,723,15
UI设计,Javascript,685,16
UI设计,网页设计,666,17
UI设计,Illustrator,661,18
UI设计,创意设计,631,19
UI设计,需求分析,607,20
全栈开发,Java,2673,1
全栈开发,全栈开发,2445,2
全栈开发,前端开发,2355,3
全栈开发,后端开发,1827,4
全栈开发,Vue,1786,5
全栈开发,Javascript,1643,6
全栈开发,Python,1549,7
全栈开发,架构设计,1420,8
全栈开发,框架开发,1398,9
全栈开发,框架设计,1326,10
全栈开发,MySQL,1287,11
全栈开发,React,1250,12
全栈开发,CSS,959,13
全栈开发,HTML,913,14
全栈开发,C++,837,15
全栈开发,无,829,16
全栈开发,SQL,714,17
全栈开发,系统开发,612,18
全栈开发,Web开发,570,19
全栈开发,IT,570,20
前端开发,前端开发,6908,1
前端开发,Vue,4682,2
前端开发,Javascript,4214,3
前端开发,HTML,4139,4
前端开发,CSS,3458,5
前端开发,框架设计,2484,6
前端开发,React,2368,7
前端开发,框架开发,2295,8
前端开发,架构设计,1594,9
前端开发,react,1402,10
前端开发,界面开发,1359,11
前端开发,无,1071,12
前端开发,Java,1067,13
前端开发,Web开发,978,14
前端开发,模块开发,924,15
前端开发,css3,896,16
前端开发,C,831,17
前端开发,后端开发,751,18
前端开发,小程序,734,19
前端开发,webpack,732,20
后端开发,后端开发,4697,1
后端开发,Java,3895,2
后端开发,前端开发,2679,3
后端开发,MySQL,2383,4
后端开发,架构设计,2172,5
后端开发,Python,2161,6
后端开发,框架开发,1921,7
后端开发,框架设计,1809,8
后端开发,Javascript,1808,9
后端开发,Vue,1663,10
后端开发,C++,1366,11
后端开发,无,1302,12
后端开发,HTML,1297,13
后端开发,CSS,1245,14
后端开发,模块开发,1061,15
后端开发,SQL,1039,16
后端开发,系统开发,957,17
后端开发,C,910,18
后端开发,IT,866,19
后端开发,Redis,856,20
性能测试,性能测试,4495,1
性能测试,无,4389,2
性能测试,自动化测试,2661,3
性能测试,软件测试,2097,4
性能测试,功能测试,1610,5
性能测试,测试开发,1040,6
性能测试,Python,1000,7
性能测试,系统测试,795,8
性能测试,Java,638,9
性能测试,C++,585,10
性能测试,硬件设计,524,11
性能测试,硬件测试,493,12
性能测试,C,448,13
性能测试,安全测试,439,14
性能测试,移动端测试,410,15
性能测试,可靠性测试,393,16
性能测试,黑盒测试,382,17
性能测试,白盒测试,370,18
性能测试,稳定性测试,357,19
性能测试,Jmeter,342,20
数据分析师,数据分析,8373,1
数据分析师,SQL,4833,2
数据分析师,数据挖掘,2778,3
数据分析师,Python,2648,4
数据分析师,数据建模,2531,5
数据分析师,无,1821,6
数据分析师,数据可视化,1513,7
数据分析师,数据采集,1147,8
数据分析师,大数据领域,1060,9
数据分析师,数据监控,794,10
数据分析师,电商领域,754,11
数据分析师,数据收集,736,12
数据分析师,Tableau,651,13
数据分析师,数据清洗,611,14
数据分析师,Power BI,587,15
数据分析师,数据开发,530,16
数据分析师,MySQL,484,17
数据分析师,SAS,458,18
数据分析师,数据治理,415,19
数据分析师,数据中台,358,20
数据挖掘,数据挖掘,3629,1
数据挖掘,无,2714,2
数据挖掘,数据分析,2467,3
数据挖掘,Python,2367,4
数据挖掘,SQL,1532,5
数据挖掘,数据建模,1300,6
数据挖掘,深度学习,958,7
数据挖掘,Java,792,8
数据挖掘,C++,705,9
数据挖掘,算法开发,652,10
数据挖掘,机器学习,575,11
数据挖掘,算法研究,554,12
数据挖掘,数据开发,526,13
数据挖掘,Spark,526,14
数据挖掘,MySQL,494,15
数据挖掘,自然语言处理,483,16
数据挖掘,大数据领域,444,17
数据挖掘,数据可视化,385,18
数据挖掘,算法设计,350,19
数据挖掘,IT,339,20
数据架构师,架构设计,2879,1
数据架构师,技术支持,1720,2
数据架构师,数据建模,1272,3
数据架构师,数据治理,1243,4
数据架构师,Spark,1167,5
数据架构师,数据开发,1090,6
数据架构师,Java,1074,7
数据架构师,数据分析,1053,8
数据架构师,大数据领域,1028,9
数据架构师,技术战略,935,10
数据架构师,Python,790,11
数据架构师,Hadoop,763,12
数据架构师,无,743,13
数据架构师,SQL,741,14
数据架构师,数据库设计,707,15
数据架构师,系统设计,685,16
数据架构师,数据挖掘,599,17
数据架构师,Hive,588,18
数据架构师,Flink,533,19
数据架构师,MySQL,516,20
机器学习,Python,3265,1
机器学习,深度学习,3234,2
机器学习,无,2116,3
机器学习,C++,2060,4
机器学习,算法开发,1649,5
机器学习,算法研究,1349,6
机器学习,PyTorch,1172,7
机器学习,机器学习,1146,8
机器学习,数据挖掘,1123,9
机器学习,自然语言处理,1087,10
机器学习,深度学习框架,964,11
机器学习,C,935,12
机器学习,Java,914,13
机器学习,TensorFlow,911,14
机器学习,算法优化,894,15
机器学习,算法设计,855,16
机器学习,数据分析,779,17
机器学习,SQL,669,18
机器学习,优化算法,612,19
机器学习,数据建模,601,20
深度学习,深度学习,5973,1
深度学习,Python,3084,2
深度学习,C++,2694,3
深度学习,算法开发,2264,4
深度学习,深度学习框架,2233,5
深度学习,算法研究,1990,6
深度学习,PyTorch,1892,7
深度学习,无,1634,8
深度学习,TensorFlow,1399,9
深度学习,算法优化,1275,10
深度学习,自然语言处理,1183,11
深度学习,图像处理,1151,12
深度学习,算法设计,1122,13
深度学习,C,1011,14
深度学习,视觉算法,816,15
深度学习,优化算法,782,16
深度学习,机器视觉,696,17
深度学习,模式识别,684,18
深度学习,机器学习,642,19
深度学习,Java,629,20
游戏场景,场景设计,2643,1
游戏场景,美术设计,2001,2
游戏场景,3dmax,1797,3
游戏场景,原画设计,1582,4
游戏场景,maya,1431,5
游戏场景,Maya,1352,6
游戏场景,无,1294,7
游戏场景,zbrush,1288,8
游戏场景,photoshop,1275,9
游戏场景,角色设计,1205,10
游戏场景,Photoshop,1150,11
游戏场景,3DMAX,1140,12
游戏场景,PBR,1092,13
游戏场景,写实风,1068,14
游戏场景,3D设计,1005,15
游戏场景,场景设计,969,16
游戏场景,UE4,820,17
游戏场景,Zbrush,804,18
游戏场景,手绘,772,19
游戏场景,Unity3D,762,20
游戏特效,特效设计,2948,1
游戏特效,UE4,964,2
游戏特效,场景设计,940,3
游戏特效,游戏行业,865,4
游戏特效,Unity3D,863,5
游戏特效,3DMAX,753,6
游戏特效,Photoshop,742,7
游戏特效,动画设计,713,8
游戏特效,粒子特效,709,9
游戏特效,Spine,670,10
游戏特效,特效设计,659,11
游戏特效,美术设计,651,12
游戏特效,After Effects,633,13
游戏特效,3dmax,631,14
游戏特效,角色设计,547,15
游戏特效,无,532,16
游戏特效,界面设计,468,17
游戏特效,Shader,434,18
游戏特效,spine,407,19
游戏特效,photoshop,342,20
游戏策划,无,8629,1
游戏策划,游戏策划,1970,2
游戏策划,游戏行业,784,3
游戏策划,系统策划,646,4
游戏策划,手机游戏,613,5
游戏策划,数值策划,559,6
游戏策划,数据分析,449,7
游戏策划,游戏数值策划,375,8
游戏策划,文案策划,373,9
游戏策划,关卡策划,364,10
游戏策划,休闲游戏,306,11
游戏策划,游戏运营,295,12
游戏策划,卡牌游戏,286,13
游戏策划,战斗策划,279,14
游戏策划,MMO游戏,272,15
游戏策划,营销策划,255,16
游戏策划,社群运营,250,17
游戏策划,产品设计,247,18
游戏策划,游戏开发,247,19
游戏策划,RPG游戏,218,20
爬虫,Python,3872,1
爬虫,无,1534,2
爬虫,MySQL,1395,3
爬虫,Java,1135,4
爬虫,SQL,878,5
爬虫,Scrapy,531,6
爬虫,架构设计,485,7
爬虫,数据分析,454,8
爬虫,后端开发,451,9
爬虫,大数据领域,432,10
爬虫,redis,431,11
爬虫,框架开发,423,12
爬虫,框架设计,391,13
爬虫,电商领域,388,14
爬虫,网络爬虫技术,363,15
爬虫,C++,360,16
爬虫,人工智能领域,345,17
爬虫,系统开发,335,18
爬虫,数据库,332,19
爬虫,网络爬虫,325,20
硬件测试,硬件测试,5188,1
硬件测试,无,4080,2
硬件测试,硬件设计,3032,3
硬件测试,PCB设计,1737,4
硬件测试,示波器,1562,5
硬件测试,性能测试,1068,6
硬件测试,功能测试,1022,7
硬件测试,万用表,924,8
硬件测试,元器件选型,776,9
硬件测试,硬件调试,771,10
硬件测试,可靠性测试,753,11
硬件测试,数字电路,718,12
硬件测试,软件测试,691,13
硬件测试,电源,640,14
硬件测试,模拟电路,550,15
硬件测试,自动化测试,548,16
硬件测试,频谱仪,533,17
硬件测试,控制器,517,18
硬件测试,系统测试,513,19
硬件测试,C,507,20
移动产品设计,移动端,1750,1
移动产品设计,产品设计,1356,2
移动产品设计,视觉设计,1341,3
移动产品设计,无,1123,4
移动产品设计,交互设计,1061,5
移动产品设计,UI设计,1038,6
移动产品设计,用户研究,1002,7
移动产品设计,移动端产品,941,8
移动产品设计,产品规划,784,9
移动产品设计,IT互联网,668,10
移动产品设计,数据分析,489,11
移动产品设计,产品优化,451,12
移动产品设计,数据产品,427,13
移动产品设计,需求分析,418,14
移动产品设计,平面设计,371,15
移动产品设计,PC端,367,16
移动产品设计,架构设计,339,17
移动产品设计,to C,332,18
移动产品设计,Sketch,325,19
移动产品设计,web端,315,20
算法工程师,C++,2974,1
算法工程师,算法开发,2934,2
算法工程师,深度学习,2639,3
算法工程师,算法研究,2187,4
算法工程师,Python,2048,5
算法工程师,无,1664,6
算法工程师,C,1479,7
算法工程师,算法设计,1426,8
算法工程师,算法优化,1278,9
算法工程师,PyTorch,1047,10
算法工程师,图像处理,910,11
算法工程师,深度学习框架,888,12
算法工程师,优化算法,829,13
算法工程师,TensorFlow,748,14
算法工程师,自然语言处理,736,15
算法工程师,控制算法,714,16
算法工程师,视觉算法,570,17
算法工程师,机器视觉,537,18
算法工程师,激光雷达,502,19
算法工程师,Matlab,492,20
网络安全,网络安全运维,3448,1
网络安全,无,2599,2
网络安全,安全运维,2459,3
网络安全,网络运维,2079,4
网络安全,信息安全运维,1458,5
网络安全,IT,1317,6
网络安全,客户管理,1306,7
网络安全,防火墙,1198,8
网络安全,信息安全,1166,9
网络安全,销售管理,932,10
网络安全,网络安全,924,11
网络安全,TCP,920,12
网络安全,IP协议,853,13
网络安全,市场洞察,840,14
网络安全,数据安全,831,15
网络安全,技术支持,812,16
网络安全,to B,760,17
网络安全,信息化领域,751,18
网络安全,DBA,751,19
网络安全,Python,750,20
网页产品设计,无,252,1
网页产品设计,视觉设计,187,2
网页产品设计,网页设计,144,3
网页产品设计,平面设计,137,4
网页产品设计,Illustrator,107,5
网页产品设计,品牌设计,100,6
网页产品设计,广告设计,80,7
网页产品设计,UI设计,78,8
网页产品设计,移动端,67,9
网页产品设计,photoshop,66,10
网页产品设计,海报设计,58,11
网页产品设计,Photoshop,50,12
网页产品设计,创意设计,50,13
网页产品设计,包装设计,50,14
网页产品设计,CorelDRAW,30,15
网页产品设计,交互设计,30,16
网页产品设计,Figma,30,17
网页产品设计,电子商务,29,18
网页产品设计,Sketch,29,19
网页产品设计,插画设计,20,20
自然语言处理,自然语言处理,4415,1
自然语言处理,深度学习,4063,2
自然语言处理,Python,3582,3
自然语言处理,PyTorch,2126,4
自然语言处理,算法研究,2115,5
自然语言处理,算法开发,1889,6
自然语言处理,无,1839,7
自然语言处理,C++,1629,8
自然语言处理,TensorFlow,1622,9
自然语言处理,深度学习框架,1603,10
自然语言处理,语言模型,1505,11
自然语言处理,算法设计,1095,12
自然语言处理,Java,1089,13
自然语言处理,算法优化,1087,14
自然语言处理,知识图谱,973,15
自然语言处理,C,757,16
自然语言处理,机器学习,728,17
自然语言处理,数据挖掘,726,18
自然语言处理,文本分类,696,19
自然语言处理,优化算法,562,20
软件测试,软件测试,7144,1
软件测试,自动化测试,4789,2
软件测试,性能测试,3369,3
软件测试,Python,2283,4
软件测试,功能测试,2270,5
软件测试,无,1997,6
软件测试,测试开发,1951,7
软件测试,C++,1575,8
软件测试,系统测试,1403,9
软件测试,Java,1323,10
软件测试,C,1186,11
软件测试,白盒测试,1004,12
软件测试,黑盒测试,801,13
软件测试,安全测试,656,14
软件测试,移动端测试,632,15
软件测试,集成测试,579,16
软件测试,Web测试,529,17
软件测试,Linux,528,18
软件测试,SQL,511,19
软件测试,IT,488,20
运维工程师,系统运维,3131,1
运维工程师,无,2190,2
运维工程师,网络运维,2130,3
运维工程师,Python,1747,4
运维工程师,Linux,1570,5
运维工程师,自动化运维,1314,6
运维工程师,MySQL,1275,7
运维工程师,IT运维,1174,8
运维工程师,Shell,1150,9
运维工程师,安全运维,1098,10
运维工程师,DevOps,1054,11
运维工程师,Docker,1014,12
运维工程师,云平台运维,1011,13
运维工程师,运维开发,992,14
运维工程师,服务器运维,954,15
运维工程师,Kubernetes,945,16
运维工程师,TCP,943,17
运维工程师,IP协议,845,18
运维工程师,Java,841,19
运维工程师,SQL,829,20
